Year,Sys,pAge,RS,FL6,IncFW,IncS1,IncS2,IncS3,IncS4,MrgFW,MrgS1,MrgS2,MrgS3,AirJJA,Air60,SstS1,SstS2,SstS3,SstS4,SstW1,SstW2,SstW3,SstW4,SbmS1,SbmS2,SbmS3,SbmS4,Flen
1985,KO,0.709680136,8.685345048,890,0.342077324,1.493527326,1.057581576,1.160937402,0.765,0.0479,0.0856,0.1915,0.0308,50.04878049,20.31428571,8.756333333,8.066,8.682666667,8.244,-1.046333333,0.060666667,-0.762333333,-1.55,2.81431907,3.162825784,3.392621031,3.533875614,863.9455041
1986,KO,0.635827875,5.804651916,895,0.355836137,1.410073801,1.281357146,1.170157404,0.7586,0.0051,-1E-04,0.23,0.0319,51.50783315,20.31428571,8.066,8.682666667,8.244,8.685,0.060666667,-0.762333333,-1.55,-2.195666667,3.162825784,3.392621031,3.533875614,3.334140052,872.0710059
1987,KO,0.869996768,5.078187199,885,0.362856508,1.236281468,1.093141403,1.086879057,1.0017,-0.0205,0.1306,0.223,0.235,49.89285714,20.31428571,8.682666667,8.244,8.685,7.629,-0.762333333,-1.55,-2.195666667,-0.135,3.392621031,3.533875614,3.334140052,3.010150208,862.3333333
1988,KO,0.856522815,2.1793601,890,0.34149939,1.369210844,1.016083515,1.001901287,0.8708,-0.0487,0.15685,0.1348,0.14795,39.07317073,20.31428571,8.244,8.685,7.629,8.569666667,-1.55,-2.195666667,-0.135,-0.053666667,3.533875614,3.334140052,3.010150208,3.802549949,864.2050562
1989,KO,0.755903375,3.4424367,885,0.300052234,1.487602265,0.882512529,1.106188656,0.8986,0.0595,-0.0941,0.3493,0.0828,53.06944444,20.31428571,8.685,7.629,8.569666667,7.859,-2.195666667,-0.135,-0.053666667,-1.372333333,3.334140052,3.010150208,3.802549949,4.155865263,883
1990,KO,0.583014109,2.083313344,863,0.293148251,1.356339966,1.168897455,1.026111921,0.7338,-0.0058,0.03105,0.23885,0.1739,53.53947368,20.31428571,7.629,8.569666667,7.859,8.812,-0.135,-0.053666667,-1.372333333,0.689333333,3.010150208,3.802549949,4.155865263,4.271559929,845.9459459
1991,KO,0.775238964,4.684871549,880,0.320751325,1.418352731,0.956136649,1.046126419,0.8323,-0.01795,0.13655,0.21855,-0.14465,52.87209302,14,8.569666667,7.859,8.812,8.397,-0.053666667,-1.372333333,0.689333333,-0.692666667,3.802549949,4.155865263,4.271559929,4.235556925,881.3172043
1992,KO,0.881159132,2.131227081,857.5,0.370974457,1.362781569,0.9959531,1.032212842,0.816,0.0081,-0.0059,0.0642,-0.0534,55.53333333,53,7.859,8.812,8.397,9.071,-1.372333333,0.689333333,-0.692666667,-0.441333333,4.155865263,4.271559929,4.235556925,3.803043571,881.5254237
1993,KO,0.641384584,2.009125538,850,0.359396502,1.423070853,1.070303366,1.082715192,0.8149,-0.00045,-0.00375,0.21915,0.285,53.63043478,30,8.812,8.397,9.071,7.511666667,0.689333333,-0.692666667,-0.441333333,-1.949,4.271559929,4.235556925,3.803043571,3.894318333,871.2121212
1994,KO,0.835602626,0.472601605,862.5,0.315256272,1.398041889,1.002255794,0.978318221,0.8807,-0.01345,0.0736,0.31205,0.04025,51.47826087,11,8.397,9.071,7.511666667,7.315333333,-0.692666667,-0.441333333,-1.949,0.071333333,4.235556925,3.803043571,3.894318333,3.687387307,860.9705882
1995,KO,0.805752025,0.604066472,853,0.310333457,1.356484394,0.85126837,0.997372124,1.0448,0.0565,0.1207,0.2395,0.2566,47.70754717,17,9.071,7.511666667,7.315333333,8.506666667,-0.441333333,-1.949,0.071333333,2.320333333,3.803043571,3.894318333,3.687387307,3.198210782,858.7842466
1996,KO,0.809568793,0.844208858,860.5,0.335004382,1.333403324,0.912863296,1.034775521,0.9694,-0.043,-0.0098,0.12625,0.012,53,28,7.511666667,7.315333333,8.506666667,7.678,-1.949,0.071333333,2.320333333,-1.138,3.894318333,3.687387307,3.198210782,3.714729574,856.503268
1997,KO,0.83557758,1.385352139,847,0.284283135,1.26168964,1.049035251,1.0891441,0.9178,0.07065,-0.0153,0.10225,0.3489,51.22222222,16,7.315333333,8.506666667,7.678,8.973,0.071333333,2.320333333,-1.138,2.086333333,3.687387307,3.198210782,3.714729574,3.671482726,870.3525641
1998,KO,0.812404611,2.896086729,861.5,0.299663967,1.489205557,1.038605235,1.073640743,0.82365,0.00405,0.046,0.2521,0.2581,53.86206897,14,8.506666667,7.678,8.973,9.766666667,2.320333333,-1.138,2.086333333,0.832333333,3.198210782,3.714729574,3.671482726,4.061947926,843.5
1999,KO,0.755175864,4.255863168,834,0.294209923,1.336351076,0.970548484,1.108416052,0.86695,0.0412,0.0347,0.3182,0.0344,39.45977011,20.31428571,7.678,8.973,9.766666667,10.00666667,-1.138,2.086333333,0.832333333,1.806,3.714729574,3.671482726,4.061947926,3.97842419,843.4640523
2000,KO,0.584651482,12.16204337,857,0.285482759,1.397954257,1.263138076,0.925715289,0.7299,0.0417,0.1437,0.2188,-0.0277,51.17283951,21,8.973,9.766666667,10.00666667,9.256666667,2.086333333,0.832333333,1.806,-0.282333333,3.671482726,4.061947926,3.97842419,3.976750216,834.0697674
2001,KO,0.627748204,3.706041398,871,0.279904957,1.44579269,0.938949701,0.906909242,0.8734,-0.0178,-0.0141,0.2573,0.0233,47.35964912,20.31428571,9.766666667,10.00666667,9.256666667,8.621,0.832333333,1.806,-0.282333333,-2.146,4.061947926,3.97842419,3.976750216,3.795776189,840.2962963
2002,KO,0.630192806,2.603412038,839.5,0.313147405,1.440023062,1.073294719,0.923789827,0.74,-0.0067,-0.0811,0.0615,0.0219,54.12359551,22,10.00666667,9.256666667,8.621,9.235666667,1.806,-0.282333333,-2.146,-5.076666667,3.97842419,3.976750216,3.795776189,3.63939791,845.6642336
2003,KO,0.655404382,1.974800635,858,0.333248722,1.461688244,1.029747098,1.089918891,0.7657,-0.0271,0.2045,0.08515,-0.04345,58.13483146,55,9.256666667,8.621,9.235666667,8.672,-0.282333333,-2.146,-5.076666667,-2.63,3.976750216,3.795776189,3.63939791,3.009273758,845.5704225
2004,KO,0.640408735,1.161280567,876.5,0.356129392,1.411989999,1.079190839,1.197439351,0.7837,0.0091,-0.06085,0.096,0.02945,56.18681319,41,8.621,9.235666667,8.672,7.866333333,-2.146,-5.076666667,-2.63,-4.522666667,3.795776189,3.63939791,3.009273758,3.91171874,838.2285714
2005,KO,0.656014619,0.58285169,856.5,0.357338752,1.470221487,0.997579755,1.030970253,1.1033,-0.02385,0.0869,0.23645,0.1943,52.13186813,18,9.235666667,8.672,7.866333333,8.478666667,-5.076666667,-2.63,-4.522666667,-1.941666667,3.63939791,3.009273758,3.91171874,3.666082985,810.9888889
2006,KO,0.896228818,1.119324735,842,0.376185852,1.418392279,1.116887368,1.150579876,1.0737,-0.0011,0.0722,0.1531,0.1299,54.05555556,17,8.672,7.866333333,8.478666667,7.705333333,-2.63,-4.522666667,-1.941666667,-5.592,3.009273758,3.91171874,3.666082985,3.641450374,838.4911661
1990,AY,0.57241493,,840,0.370390367,1.435205178,1.005431202,0.994759313,0.7437,-0.0192,0.2989,-0.1475,-0.0022,48.60674157,1,7.629,8.569666667,7.859,8.812,-0.135,-0.053666667,-1.372333333,0.689333333,3.010150208,3.802549949,4.155865263,4.271559929,867.7116279
1991,AY,0.403104336,,830,0.373638323,1.4379695,1.139036905,1.091281797,0.76715,0.0496,0.0816,0.32175,-0.00425,45.42314922,0.870967742,8.569666667,7.859,8.812,8.397,-0.053666667,-1.372333333,0.689333333,-0.692666667,3.802549949,4.155865263,4.271559929,4.235556925,820.5737705
1992,AY,0.540900512,,805,0.333257544,1.333284414,1.147342467,1.121823453,0.753,-0.0153,0.0336,0.10045,0.18475,46.13333333,3,7.859,8.812,8.397,9.071,-1.372333333,0.689333333,-0.692666667,-0.441333333,4.155865263,4.271559929,4.235556925,3.803043571,857.7272727
1993,AY,0.423970889,,860,0.390650322,1.558567232,1.107593557,1.15029074,0.8688,0.04985,0.02795,0.1281,0.2586,46.13333333,3,8.812,8.397,9.071,7.511666667,0.689333333,-0.692666667,-0.441333333,-1.949,4.271559929,4.235556925,3.803043571,3.894318333,832.1582734
1994,AY,0.514991371,0.426716633,837.5,0.350076848,1.466284545,1.109319141,1.110948214,0.8187,0.0652,0.01005,0.3046,0.1372,43.61956522,0,8.397,9.071,7.511666667,7.315333333,-0.692666667,-0.441333333,-1.949,0.071333333,4.235556925,3.803043571,3.894318333,3.687387307,823.3333333
1995,AY,0.815545389,0.809822662,870,0.39149997,1.470742081,0.891974425,1.047766959,0.92575,0.0038,0.08565,0.15475,0.0183,43.27380952,0,9.071,7.511666667,7.315333333,8.506666667,-0.441333333,-1.949,0.071333333,2.320333333,3.803043571,3.894318333,3.687387307,3.198210782,828.8333333
1996,AY,0.689029525,0.503561238,800,0.339384404,1.36363172,1.024279734,1.110442133,0.7696,0.02085,0.0464,0.3307,0.46785,46.34782609,1,7.511666667,7.315333333,8.506666667,7.678,-1.949,0.071333333,2.320333333,-1.138,3.894318333,3.687387307,3.198210782,3.714729574,743.2945205
1997,AY,0.776418443,1.272634912,840,0.365935372,1.31472198,1.033211401,1.060345818,0.9008,0.0073,-0.0243,0.1389,0.0872,43.98876404,0,7.315333333,8.506666667,7.678,8.973,0.071333333,2.320333333,-1.138,2.086333333,3.687387307,3.198210782,3.714729574,3.671482726,762.5496689
1998,AY,0.667942961,1.318976181,845,0.330617043,1.438110016,1.143899335,1.097812339,0.89865,0.02555,0.02675,0.04565,0.10035,43.55434783,0,8.506666667,7.678,8.973,9.766666667,2.320333333,-1.138,2.086333333,0.832333333,3.198210782,3.714729574,3.671482726,4.061947926,772.6388889
1999,AY,0.306289022,1.601996994,842.5,0.331791978,1.356120868,1.076687389,1.132921595,0.80765,-0.00825,0.0654,0.1282,-0.0423,45.29850746,0.870967742,7.678,8.973,9.766666667,10.00666667,-1.138,2.086333333,0.832333333,1.806,3.714729574,3.671482726,4.061947926,3.97842419,812.2058824
2000,AY,0.527936935,4.327765192,840,0.340766253,1.459529532,1.232537273,0.989596655,0.7708,-0.0013,0.0927,0.117,-0.0105,42.66304348,0,8.973,9.766666667,10.00666667,9.256666667,2.086333333,0.832333333,1.806,-0.282333333,3.671482726,4.061947926,3.97842419,3.976750216,759.2755102
2001,AY,0.388975022,3.097545966,810,0.341488693,1.499025236,1.192514394,1.100254794,0.7463,-0.0056,0.04655,0.1168,0.02935,44.16304348,0,9.766666667,10.00666667,9.256666667,8.621,0.832333333,1.806,-0.282333333,-2.146,4.061947926,3.97842419,3.976750216,3.795776189,861.9493671
2002,AY,0.521034578,1.049223336,830,0.330410115,1.335340037,1.167708574,1.003063686,0.7575,0.0663,0.126,0.2213,0.0121,45.78888889,1,10.00666667,9.256666667,8.621,9.235666667,1.806,-0.282333333,-2.146,-5.076666667,3.97842419,3.976750216,3.795776189,3.63939791,771.5217391
2003,AY,0.494748724,1.864606422,830,0.322657467,1.410615523,1.005734493,0.936965494,0.84215,-0.0023,0.0287,0.1079,0.09065,48.93478261,2,9.256666667,8.621,9.235666667,8.672,-0.282333333,-2.146,-5.076666667,-2.63,3.976750216,3.795776189,3.63939791,3.009273758,779.7440945
2004,AY,0.737450927,0.148262053,830,0.33692775,1.364218009,1.052570124,1.044497917,0.8262,-0.0104,0.03235,0.02435,-0.00985,48.93478261,2,8.621,9.235666667,8.672,7.866333333,-2.146,-5.076666667,-2.63,-4.522666667,3.795776189,3.63939791,3.009273758,3.91171874,755.8474576
2005,AY,0.321030608,1.495111789,830,0.34343105,1.471461493,1.100817849,1.036547929,0.9864,-0.0292,0.0185,0.0122,0.1224,43.47826087,0,9.235666667,8.672,7.866333333,8.478666667,-5.076666667,-2.63,-4.522666667,-1.941666667,3.63939791,3.009273758,3.91171874,3.666082985,771.8298969
